"Subject","Expected","Uploaded","Missing","Missing Dates"
"CS424G1","8","0","8","01 August | 01 August | 08 August | 08 August | 22 August | 22 August | 29 August | 29 August"
"CS421G2","8","0","8","01 August | 01 August | 08 August | 08 August | 22 August | 22 August | 29 August | 29 August"
"CS421G1","10","0","10","03 August | 03 August | 10 August | 10 August | 17 August | 17 August | 24 August | 24 August | 31 August | 31 August"
"CS424G2","10","0","10","03 August | 03 August | 10 August | 10 August | 17 August | 17 August | 24 August | 24 August | 31 August | 31 August"
"CS418","17","0","17","03 August | 06 August | 07 August | 07 August | 10 August | 13 August | 14 August | 14 August | 17 August | 20 August | 21 August | 21 August | 24 August | 27 August | 28 August | 28 August | 31 August"
"CS419","17","0","17","03 August | 06 August | 07 August | 07 August | 10 August | 13 August | 14 August | 14 August | 17 August | 20 August | 21 August | 21 August | 24 August | 27 August | 28 August | 28 August | 31 August"
"CS425","17","20","7","04 August | 21 August | 24 August | 25 August | 26 August | 28 August | 31 August"
"CS412","17","3","17","03 August | 05 August | 06 August | 06 August | 10 August | 12 August | 13 August | 13 August | 17 August | 19 August | 20 August | 20 August | 24 August | 26 August | 27 August | 27 August | 31 August"
"CG401","9","2","9","03 August | 04 August | 10 August | 11 August | 17 August | 18 August | 24 August | 25 August | 31 August"
"CS415","16","9","11","04 August | 06 August | 07 August | 11 August | 18 August | 19 August | 20 August | 25 August | 26 August | 27 August | 28 August"
"CS417","16","0","16","04 August | 05 August | 06 August | 07 August | 11 August | 12 August | 13 August | 14 August | 18 August | 19 August | 20 August | 21 August | 25 August | 26 August | 27 August | 28 August"
"CS426","8","6","8","04 August | 04 August | 11 August | 11 August | 18 August | 18 August | 25 August | 25 August"
"CS410","16","14","8","04 August | 12 August | 20 August | 21 August | 25 August | 26 August | 27 August | 28 August"
