"Subject","Date 1","Date 2","Date 3","Date 4","Date 5","Date 6","Date 7","Date 8","Date 9","Date 10","Date 11","Date 12","Date 13","Date 14","Date 15","Date 16","Date 17","Date 18","Date 19","Date 20","Date 21","Date 22","Date 23","Date 24","Date 25"
"CS421G1","13 July","13 July","20 July","20 July","27 July","27 July","03 August","03 August","10 August","10 August","17 August","17 August","24 August","24 August","","","","","","","","","","",""
"CS421G2","18 July","18 July","25 July","25 July","01 August","01 August","08 August","08 August","22 August","22 August","","","","","","","","","","","","","","",""
"CS424G1","18 July","18 July","25 July","25 July","01 August","01 August","08 August","08 August","22 August","22 August","","","","","","","","","","","","","","",""
"CS424G2","13 July","13 July","20 July","20 July","27 July","27 July","03 August","03 August","10 August","10 August","17 August","17 August","24 August","24 August","","","","","","","","","","",""
"CS418","13 July","17 July","17 July","20 July","23 July","24 July","24 July","27 July","30 July","31 July","31 July","03 August","06 August","07 August","07 August","10 August","13 August","14 August","14 August","17 August","20 August","21 August","21 August","24 August",""
"CS419","13 July","17 July","17 July","20 July","23 July","24 July","24 July","27 July","30 July","31 July","31 July","03 August","06 August","07 August","07 August","10 August","13 August","14 August","14 August","17 August","20 August","21 August","21 August","24 August",""
"CS425","13 July","14 July","15 July","17 July","20 July","21 July","22 July","24 July","27 July","28 July","29 July","31 July","03 August","04 August","05 August","07 August","10 August","11 August","12 August","14 August","17 August","18 August","19 August","21 August","24 August"
"CS412","13 July","15 July","20 July","22 July","23 July","23 July","27 July","29 July","30 July","30 July","03 August","05 August","06 August","06 August","10 August","12 August","13 August","13 August","17 August","19 August","20 August","20 August","24 August","",""
"CG401","13 July","14 July","20 July","21 July","27 July","28 July","03 August","04 August","10 August","11 August","17 August","18 August","24 August","","","","","","","","","","","",""
"CS415","14 July","15 July","17 July","21 July","22 July","23 July","24 July","28 July","29 July","30 July","31 July","04 August","05 August","06 August","07 August","11 August","12 August","13 August","14 August","18 August","19 August","20 August","21 August","",""
"CS417","14 July","15 July","17 July","21 July","22 July","23 July","24 July","28 July","29 July","30 July","31 July","04 August","05 August","06 August","07 August","11 August","12 August","13 August","14 August","18 August","19 August","20 August","21 August","",""
"CS426","14 July","14 July","21 July","21 July","28 July","28 July","04 August","04 August","11 August","11 August","18 August","18 August","","","","","","","","","","","","",""
"CS410","14 July","15 July","17 July","21 July","22 July","23 July","24 July","28 July","29 July","30 July","31 July","04 August","05 August","06 August","07 August","11 August","12 August","13 August","14 August","18 August","19 August","20 August","21 August","",""
